key,original,translate,needCheck
stats/desecrated/desecrated.stat_970213192/#% increased Skill Speed,#% increased Skill Speed,增加#%技能速度,
stats/desecrated/desecrated.stat_970480050/Conquered Small Passive Skills also grant #% increased Armour,Conquered Small Passive Skills also grant #% increased Armour,被征服的小型天賦也會賦予增加#%護甲值,
"stats/desecrated/desecrated.stat_971590056/Inflict Anaemia on Hit
Anaemia allows # Corrupted Blood debuffs to be inflicted on enemies","Inflict Anaemia on Hit
Anaemia allows # Corrupted Blood debuffs to be inflicted on enemies","擊中時施加缺血
缺血允許敵人被施加#層腐化之血減益",
stats/desecrated/desecrated.stat_980177976/Small Passive Skills in Radius also grant #% increased Life Recovery from Flasks,Small Passive Skills in Radius also grant #% increased Life Recovery from Flasks,範圍內小型天賦也會賦予 增加#%藥劑的生命恢復,
stats/desecrated/desecrated.stat_983749596/#% increased maximum Life,#% increased maximum Life,增加#%最大生命,
stats/desecrated/desecrated.stat_986397080/#% reduced Ignite Duration on you,#% reduced Ignite Duration on you,減少#%你身上的點燃持續時間,
stats/desecrated/desecrated.stat_99927264/#% reduced Shock duration on you,#% reduced Shock duration on you,減少#%你身上的感電持續時間,
stats/desecrated/desecrated.stat_999511066/#% increased Minion Duration,#% increased Minion Duration,增加#%召喚物持續時間,
stats/enchant,Enchant,附魔,
stats/enchant/enchant.stat_1004011302/#% increased Cooldown Recovery Rate,#% increased Cooldown Recovery Rate,增加#%冷卻時間恢復率,
stats/enchant/enchant.stat_1011760251/#% to Maximum Lightning Resistance,#% to Maximum Lightning Resistance,#%最大閃電抗性,
stats/enchant/enchant.stat_101878827/#% increased Presence Area of Effect,#% increased Presence Area of Effect,增加#%存在範圍的範圍效果,
stats/enchant/enchant.stat_1037193709/Adds # to # Cold Damage,Adds # to # Cold Damage,附加#至#冰冷傷害,
stats/enchant/enchant.stat_1050105434/# to maximum Mana,# to maximum Mana,#最大魔力,
stats/enchant/enchant.stat_1062208444/#% increased Armour (Local),#% increased Armour (Local),增加#%護甲值 (部分),
stats/enchant/enchant.stat_1102738251/Life Flasks gain # charges per Second,Life Flasks gain # charges per Second,生命藥劑每秒獲得#充能,
stats/enchant/enchant.stat_124859000/#% increased Evasion Rating (Local),#% increased Evasion Rating (Local),增加#%閃避值 (部分),
stats/enchant/enchant.stat_1315743832/#% increased Thorns damage,#% increased Thorns damage,增加#%荊棘傷害,
stats/enchant/enchant.stat_1316278494/#% increased Warcry Speed,#% increased Warcry Speed,增加#%戰吼速度,
stats/enchant/enchant.stat_1368271171/Gain # Mana per enemy killed,Gain # Mana per enemy killed,每個被擊殺的敵人，獲得#魔力,
stats/enchant/enchant.stat_1436284579/Cannot be Blinded,Cannot be Blinded,不會被致盲,
stats/enchant/enchant.stat_1444556985/#% of Damage taken Recouped as Life,#% of Damage taken Recouped as Life,承受的#%傷害補償為生命,
stats/enchant/enchant.stat_1509134228/#% increased Physical Damage,#% increased Physical Damage,增加#%物理傷害,
stats/enchant/enchant.stat_1515657623/# to Maximum Endurance Charges,# to Maximum Endurance Charges,#最大耐力球數量,
stats/enchant/enchant.stat_1519615863/#% chance to cause Bleeding on Hit,#% chance to cause Bleeding on Hit,擊中時有#%機率造成流血,
stats/enchant/enchant.stat_1545858329/# to Level of all Lightning Spell Skills,# to Level of all Lightning Spell Skills,全部閃電法術技能等級#,
stats/enchant/enchant.stat_1600707273/# to Level of all Physical Spell Skills,# to Level of all Physical Spell Skills,全部物理法術技能等級#,
stats/enchant/enchant.stat_1658498488/Corrupted Blood cannot be inflicted on you,Corrupted Blood cannot be inflicted on you,無法對你造成腐化之血,
stats/enchant/enchant.stat_1671376347/#% to Lightning Resistance,#% to Lightning Resistance,#%閃電抗性,
stats/enchant/enchant.stat_1715784068/Players in Area are #% Delirious,Players in Area are #% Delirious,區域中玩家的譫妄為#%,
stats/enchant/enchant.stat_1725749947/Grants # Rage on Hit,Grants # Rage on Hit,擊中時獲得#層盛怒,
stats/enchant/enchant.stat_1776411443/Break #% increased Armour,Break #% increased Armour,增加#%護甲值破壞,
stats/enchant/enchant.stat_1782086450/#% faster start of Energy Shield Recharge,#% faster start of Energy Shield Recharge,能量護盾開始充能速度加快#%,
stats/enchant/enchant.stat_1798257884/Allies in your Presence deal #% increased Damage,Allies in your Presence deal #% increased Damage,增加#%處於你存在範圍中的友方所造成的傷害,
stats/enchant/enchant.stat_185580205/Charms gain # charge per Second,Charms gain # charge per Second,護符每秒獲得#充能,
stats/enchant/enchant.stat_1967051901/Loads an additional bolt,Loads an additional bolt,裝填額外1發弩箭,
stats/enchant/enchant.stat_1978899297/#% to all Maximum Elemental Resistances,#% to all Maximum Elemental Resistances,#%最大全元素抗性,
stats/enchant/enchant.stat_1998951374/Allies in your Presence have #% increased Attack Speed,Allies in your Presence have #% increased Attack Speed,處於你存在範圍中的友方增加#%攻擊速度,
stats/enchant/enchant.stat_1999113824/#% increased Evasion and Energy Shield,#% increased Evasion and Energy Shield,增加#%閃避和能量護盾,
stats/enchant/enchant.stat_2017682521/#% increased Pack Size in Map,#% increased Pack Size in Map,增加#%地圖內的怪物群大小,
stats/enchant/enchant.stat_210067635/#% increased Attack Speed (Local),#% increased Attack Speed (Local),增加#%攻擊速度 (部分),
stats/enchant/enchant.stat_2106365538/#% increased Evasion Rating,#% increased Evasion Rating,增加#%閃避值,
stats/enchant/enchant.stat_2122183138/# Mana gained when you Block,# Mana gained when you Block,你格擋時獲得#魔力,
stats/enchant/enchant.stat_2154246560/#% increased Damage,#% increased Damage,增加#%傷害,
stats/enchant/enchant.stat_2162097452/# to Level of all Minion Skills,# to Level of all Minion Skills,全部召喚物技能等級#,
stats/enchant/enchant.stat_2200293569/Mana Flasks gain # charges per Second,Mana Flasks gain # charges per Second,魔力藥劑每秒獲得#充能,
stats/enchant/enchant.stat_2223678961/Adds # to # Chaos damage,Adds # to # Chaos damage,附加#至#混沌傷害,
stats/enchant/enchant.stat_2250533757/#% increased Movement Speed,#% increased Movement Speed,增加#%移動速度,
stats/enchant/enchant.stat_2254480358/# to Level of all Cold Spell Skills,# to Level of all Cold Spell Skills,全部冰冷法術技能等級#,
stats/enchant/enchant.stat_227523295/# to Maximum Power Charges,# to Maximum Power Charges,#最大暴擊球數量,
stats/enchant/enchant.stat_2301191210/#% chance to Blind Enemies on hit,#% chance to Blind Enemies on hit,擊中時有#%機率致盲敵人,
stats/enchant/enchant.stat_2306002879/#% increased Rarity of Items found in Map,#% increased Rarity of Items found in Map,增加#%地圖內找到的物品稀有度,
stats/enchant/enchant.stat_2321178454/#% chance to Pierce an Enemy,#% chance to Pierce an Enemy,有#%機率穿透一個敵人,
stats/enchant/enchant.stat_2353576063/#% increased Curse Magnitudes,#% increased Curse Magnitudes,增加#%詛咒幅度,
stats/enchant/enchant.stat_2451402625/#% increased Armour and Evasion,#% increased Armour and Evasion,增加#%護甲值和閃避,
stats/enchant/enchant.stat_2481353198/#% increased Block chance (Local),#% increased Block chance (Local),增加#%格擋率 (部分),
stats/enchant/enchant.stat_2482852589/#% increased maximum Energy Shield,#% increased maximum Energy Shield,增加#%最大能量護盾,
stats/enchant/enchant.stat_2557965901/Leech #% of Physical Attack Damage as Life,Leech #% of Physical Attack Damage as Life,以#%物理攻擊傷害偷取生命,
stats/enchant/enchant.stat_2653955271/Damage Penetrates #% Fire Resistance,Damage Penetrates #% Fire Resistance,傷害穿透#%火焰抗性,
stats/enchant/enchant.stat_2694482655/#% to Critical Damage Bonus,#% to Critical Damage Bonus,#%的暴擊傷害加成,
stats/enchant/enchant.stat_2763429652/#% chance to Maim on Hit,#% chance to Maim on Hit,擊中時有#%機率造成癱瘓,
stats/enchant/enchant.stat_280731498/#% increased Area of Effect,#% increased Area of Effect,增加#%範圍效果,
stats/enchant/enchant.stat_2866361420/#% increased Armour,#% increased Armour,增加#%護甲值,
stats/enchant/enchant.stat_2891184298/#% increased Cast Speed,#% increased Cast Speed,增加#%施放速度,
stats/enchant/enchant.stat_289128254/Allies in your Presence have #% increased Cast Speed,Allies in your Presence have #% increased Cast Speed,處於你存在範圍中的友方增加#%施放速度,
stats/enchant/enchant.stat_2901986750/#% to all Elemental Resistances,#% to all Elemental Resistances,#%全元素抗性,
stats/enchant/enchant.stat_2923486259/#% to Chaos Resistance,#% to Chaos Resistance,#%混沌抗性,
stats/enchant/enchant.stat_293638271/#% increased chance to Shock,#% increased chance to Shock,增加#%感電機率,
stats/enchant/enchant.stat_2954116742|10029/Allocates Repulsion,Allocates Repulsion,配置排斥,
stats/enchant/enchant.stat_2954116742|10169/Allocates Unfettered,Allocates Unfettered,配置無束,
stats/enchant/enchant.stat_2954116742|10265/Allocates Javelin,Allocates Javelin,配置長矛：傷害核心,
stats/enchant/enchant.stat_2954116742|10295/Allocates Overzealous,Allocates Overzealous,配置過度狂熱,
stats/enchant/enchant.stat_2954116742|10315/Allocates Easy Going,Allocates Easy Going,配置好相處,
stats/enchant/enchant.stat_2954116742|10398/Allocates Sudden Escalation,Allocates Sudden Escalation,配置突發升級,
stats/enchant/enchant.stat_2954116742|10423/Allocates Exposed to the Inferno,Allocates Exposed to the Inferno,配置暴露於煉獄之火,
stats/enchant/enchant.stat_2954116742|10499/Allocates Necromantic Ward,Allocates Necromantic Ward,配置靈能保護,
stats/enchant/enchant.stat_2954116742|10500/Allocates Dazing Blocks,Allocates Dazing Blocks,配置目眩格擋,
stats/enchant/enchant.stat_2954116742|10602/Allocates Reaving,Allocates Reaving,配置掠奪,
stats/enchant/enchant.stat_2954116742|10612/Allocates Embodiment of Frost,Allocates Embodiment of Frost,配置寒霜化身,
stats/enchant/enchant.stat_2954116742|10681/Allocates Defensive Stance,Allocates Defensive Stance,配置防禦姿態,
stats/enchant/enchant.stat_2954116742|10727/Allocates Emboldening Casts,Allocates Emboldening Casts,配置鼓舞詠唱,
stats/enchant/enchant.stat_2954116742|10772/Allocates Bloodthirsty,Allocates Bloodthirsty,配置嗜血的,
stats/enchant/enchant.stat_2954116742|10774/Allocates Unyielding,Allocates Unyielding,配置屹立不搖,
stats/enchant/enchant.stat_2954116742|1087/Allocates Shockwaves,Allocates Shockwaves,配置震波,
stats/enchant/enchant.stat_2954116742|10873/Allocates Bestial Rage,Allocates Bestial Rage,配置野獸狂怒,
stats/enchant/enchant.stat_2954116742|10998/Allocates Strong Chin,Allocates Strong Chin,配置強力下顎,
stats/enchant/enchant.stat_2954116742|1104/Allocates Lust for Power,Allocates Lust for Power,配置渴求力量,
stats/enchant/enchant.stat_2954116742|11184/Allocates Zarokh's Gift,Allocates Zarokh's Gift,配置澤洛克之贈,
stats/enchant/enchant.stat_2954116742|11366/Allocates Volcanic Skin,Allocates Volcanic Skin,配置火山皮膚,
stats/enchant/enchant.stat_2954116742|11376/Allocates Necrotic Touch,Allocates Necrotic Touch,配置亡者之觸,
stats/enchant/enchant.stat_2954116742|11392/Allocates Molten Being,Allocates Molten Being,配置熔火生命體,
stats/enchant/enchant.stat_2954116742|11526/Allocates Sniper,Allocates Sniper,配置狙擊手,
stats/enchant/enchant.stat_2954116742|11578/Allocates Spreading Shocks,Allocates Spreading Shocks,配置擴散感電,
stats/enchant/enchant.stat_2954116742|116/Allocates Insightfulness,Allocates Insightfulness,配置明察秋毫,
stats/enchant/enchant.stat_2954116742|1169/Allocates Urgent Call,Allocates Urgent Call,配置緊急呼喚,
stats/enchant/enchant.stat_2954116742|11774/Allocates The Spring Hare,Allocates The Spring Hare,配置春兔,
stats/enchant/enchant.stat_2954116742|11826/Allocates Heavy Ammunition,Allocates Heavy Ammunition,配置重磅彈藥,
stats/enchant/enchant.stat_2954116742|11838/Allocates Dreamcatcher,Allocates Dreamcatcher,配置捕夢者,
stats/enchant/enchant.stat_2954116742|11886/Allocates Mauling Stuns,Allocates Mauling Stuns,配置暈眩累積,
stats/enchant/enchant.stat_2954116742|12245/Allocates Arsonist,Allocates Arsonist,配置縱火者,
stats/enchant/enchant.stat_2954116742|12337/Allocates Flash Storm,Allocates Flash Storm,配置電光風暴,
stats/enchant/enchant.stat_2954116742|12412/Allocates Temporal Mastery,Allocates Temporal Mastery,配置時間專精,
stats/enchant/enchant.stat_2954116742|12611/Allocates Harness the Elements,Allocates Harness the Elements,配置駕馭元素,
stats/enchant/enchant.stat_2954116742|12661/Allocates Asceticism,Allocates Asceticism,配置禁慾主義,
stats/enchant/enchant.stat_2954116742|12750/Allocates Vale Shelter,Allocates Vale Shelter,配置谷地庇護,
stats/enchant/enchant.stat_2954116742|12822/Allocates Adaptable Assault,Allocates Adaptable Assault,配置可適應攻擊,
stats/enchant/enchant.stat_2954116742|12906/Allocates Sitting Duck,Allocates Sitting Duck,配置待宰羔羊,
stats/enchant/enchant.stat_2954116742|12964/Allocates Lone Warrior,Allocates Lone Warrior,配置獨行戰士,
stats/enchant/enchant.stat_2954116742|12998/Allocates Warm the Heart,Allocates Warm the Heart,配置暖心,
stats/enchant/enchant.stat_2954116742|13407/Allocates Heartbreaking,Allocates Heartbreaking,配置裂心,
stats/enchant/enchant.stat_2954116742|13457/Allocates Shadow Dancing,Allocates Shadow Dancing,配置影之舞,
stats/enchant/enchant.stat_2954116742|13482/Allocates Punctured Lung,Allocates Punctured Lung,配置肺部破壞,
stats/enchant/enchant.stat_2954116742|13489/Allocates Unbreakable,Allocates Unbreakable,配置堅不可破,
stats/enchant/enchant.stat_2954116742|13515/Allocates Stormwalker,Allocates Stormwalker,配置風暴行者,
stats/enchant/enchant.stat_2954116742|1352/Allocates Unbending,Allocates Unbending,配置永不屈服,
stats/enchant/enchant.stat_2954116742|13524/Allocates Everlasting Glory,Allocates Everlasting Glory,配置永恆榮耀,
stats/enchant/enchant.stat_2954116742|13542/Allocates Loose Flesh,Allocates Loose Flesh,配置鬆散肌肉,
stats/enchant/enchant.stat_2954116742|13693/Allocates Rhythm of Ice,Allocates Rhythm of Ice,配置冰霜節奏,
stats/enchant/enchant.stat_2954116742|13708/Allocates Curved Weapon,Allocates Curved Weapon,配置彎曲武器,
stats/enchant/enchant.stat_2954116742|13724/Allocates Deadly Force,Allocates Deadly Force,配置致命武力,
stats/enchant/enchant.stat_2954116742|13738/Allocates Lightning Quick,Allocates Lightning Quick,配置迅雷,
stats/enchant/enchant.stat_2954116742|13823/Allocates Controlling Magic,Allocates Controlling Magic,配置操控魔法,
stats/enchant/enchant.stat_2954116742|13844/Allocates Growing Peril,Allocates Growing Peril,配置危境增長,
stats/enchant/enchant.stat_2954116742|13895/Allocates Precise Point,Allocates Precise Point,配置精準攻擊,
stats/enchant/enchant.stat_2954116742|13980/Allocates Split the Earth,Allocates Split the Earth,配置劈裂大地,
stats/enchant/enchant.stat_2954116742|1420/Allocates Dizzying Sweep,Allocates Dizzying Sweep,配置眩旋橫掃,
stats/enchant/enchant.stat_2954116742|14211/Allocates Shredding Contraptions,Allocates Shredding Contraptions,配置粉碎裝置,
stats/enchant/enchant.stat_2954116742|14258/Allocates Puppet Master chance,Allocates Puppet Master chance,配置魁儡大師機率,
stats/enchant/enchant.stat_2954116742|14265/Allocates Arsonist,Allocates Arsonist,配置火焰傷害,
stats/enchant/enchant.stat_2954116742|14294/Allocates Sacrificial Blood,Allocates Sacrificial Blood,配置獻祭鮮血,
stats/enchant/enchant.stat_2954116742|14324/Allocates Arcane Blossom,Allocates Arcane Blossom,配置秘能之花,
stats/enchant/enchant.stat_2954116742|14343/Allocates Deterioration,Allocates Deterioration,配置惡化,
stats/enchant/enchant.stat_2954116742|14383/Allocates Suffusion,Allocates Suffusion,配置瀰漫的,
stats/enchant/enchant.stat_2954116742|1448/Allocates Bond of the Cat,Allocates Bond of the Cat,配置靈貓之羈絆,
stats/enchant/enchant.stat_2954116742|14602/Allocates Specialised Shots,Allocates Specialised Shots,配置專精射擊,
stats/enchant/enchant.stat_2954116742|14761/Allocates Warlord Leader,Allocates Warlord Leader,配置總督軍領袖,
stats/enchant/enchant.stat_2954116742|14777/Allocates Bravado,Allocates Bravado,配置雙刃之力,
stats/enchant/enchant.stat_2954116742|14934/Allocates Spiral into Mania,Allocates Spiral into Mania,配置狂熱漩渦,
stats/enchant/enchant.stat_2954116742|14945/Allocates Growing Swarm,Allocates Growing Swarm,配置人海戰術,
stats/enchant/enchant.stat_2954116742|1502/Allocates Draiocht Cleansing,Allocates Draiocht Cleansing,配置魔幻清晰,
stats/enchant/enchant.stat_2954116742|15030/Allocates Consistent Intake,Allocates Consistent Intake,配置持續承受,
stats/enchant/enchant.stat_2954116742|1506/Allocates Remnant Attraction,Allocates Remnant Attraction,配置痕跡吸引,
stats/enchant/enchant.stat_2954116742|15083/Allocates Power Conduction,Allocates Power Conduction,配置能量傳導,
stats/enchant/enchant.stat_2954116742|15114/Allocates Boundless Growth,Allocates Boundless Growth,配置無限生長,
stats/enchant/enchant.stat_2954116742|15374/Allocates Hale Heart,Allocates Hale Heart,配置心心向榮,
stats/enchant/enchant.stat_2954116742|15443/Allocates Endured Suffering,Allocates Endured Suffering,配置忍受痛苦,
stats/enchant/enchant.stat_2954116742|1546/Allocates Spiral into Depression,Allocates Spiral into Depression,配置陷入憂鬱,
stats/enchant/enchant.stat_2954116742|15606/Allocates Thrill of the Fight,Allocates Thrill of the Fight,配置刺激戰鬥,
stats/enchant/enchant.stat_2954116742|15617/Allocates Heavy Drinker,Allocates Heavy Drinker,配置重度飲用者,
stats/enchant/enchant.stat_2954116742|15644/Allocates Shedding Skin,Allocates Shedding Skin,配置換皮,
stats/enchant/enchant.stat_2954116742|15825/Allocates Bhatair's Storm,Allocates Bhatair's Storm,配置瓦特爾的風暴,
stats/enchant/enchant.stat_2954116742|15829/Allocates Siphon,Allocates Siphon,配置虹吸,
stats/enchant/enchant.stat_2954116742|15986/Allocates Building Toxins,Allocates Building Toxins,配置蓄積毒素,
stats/enchant/enchant.stat_2954116742|15991/Allocates Embodiment of Lightning,Allocates Embodiment of Lightning,配置閃電的化身,
stats/enchant/enchant.stat_2954116742|1603/Allocates Storm Driven,Allocates Storm Driven,配置風暴驅動,
stats/enchant/enchant.stat_2954116742|16142/Allocates Deep Freeze,Allocates Deep Freeze,配置深度冷凍,
stats/enchant/enchant.stat_2954116742|16150/Allocates Inspiring Ally,Allocates Inspiring Ally,配置鼓舞人心的盟友,
stats/enchant/enchant.stat_2954116742|16256/Allocates Ether Flow,Allocates Ether Flow,配置以太湧流,
stats/enchant/enchant.stat_2954116742|16466/Allocates Mental Alacrity,Allocates Mental Alacrity,配置心靈迅捷,
stats/enchant/enchant.stat_2954116742|16499/Allocates Lingering Whispers,Allocates Lingering Whispers,配置殘留低語,
stats/enchant/enchant.stat_2954116742|16618/Allocates Jack of all Trades,Allocates Jack of all Trades,配置萬事通,
stats/enchant/enchant.stat_2954116742|16626/Allocates Impact Area,Allocates Impact Area,配置衝擊範圍,
stats/enchant/enchant.stat_2954116742|16790/Allocates Efficient Casting,Allocates Efficient Casting,配置高效施法,
stats/enchant/enchant.stat_2954116742|16816/Allocates Pinpoint Shot,Allocates Pinpoint Shot,配置精確射擊,
stats/enchant/enchant.stat_2954116742|16940/Allocates Arcane Nature,Allocates Arcane Nature,配置奧術本質,
stats/enchant/enchant.stat_2954116742|17029/Allocates Blade Catcher,Allocates Blade Catcher,配置捕刃者,
stats/enchant/enchant.stat_2954116742|17150/Allocates General's Bindings,Allocates General's Bindings,配置將軍的束縛,
stats/enchant/enchant.stat_2954116742|17229/Allocates Silent Guardian,Allocates Silent Guardian,配置無聲守護者,
stats/enchant/enchant.stat_2954116742|17254/Allocates Spell Haste,Allocates Spell Haste,配置法術迅捷,
stats/enchant/enchant.stat_2954116742|17260/Allocates Piercing Claw,Allocates Piercing Claw,配置穿刺之爪,
stats/enchant/enchant.stat_2954116742|17303/Allocates Utility Ordnance,Allocates Utility Ordnance,配置實用軍械,
stats/enchant/enchant.stat_2954116742|17330/Allocates Perforation,Allocates Perforation,配置穿孔,
stats/enchant/enchant.stat_2954116742|17340/Allocates Adrenaline Rush,Allocates Adrenaline Rush,配置腎上腺素,
stats/enchant/enchant.stat_2954116742|17372/Allocates Reaching Strike,Allocates Reaching Strike,配置延伸打擊,
stats/enchant/enchant.stat_2954116742|17548/Allocates Moment of Truth,Allocates Moment of Truth,配置真相揭曉,
stats/enchant/enchant.stat_2954116742|17600/Allocates Thirsting Ally,Allocates Thirsting Ally,配置飢渴的盟友,
stats/enchant/enchant.stat_2954116742|17664/Allocates Decisive Retreat,Allocates Decisive Retreat,配置明哲保身,
stats/enchant/enchant.stat_2954116742|17696/Allocates Augmented Flesh,Allocates Augmented Flesh,配置增幅血肉,
stats/enchant/enchant.stat_2954116742|17725/Allocates Bonded Precision,Allocates Bonded Precision,配置契合精準,
stats/enchant/enchant.stat_2954116742|17762/Allocates Vengeance,Allocates Vengeance,配置復仇,
stats/enchant/enchant.stat_2954116742|17825/Allocates Tactical Retreat,Allocates Tactical Retreat,配置戰術性撤退,
stats/enchant/enchant.stat_2954116742|17854/Allocates Escape Velocity,Allocates Escape Velocity,配置逃逸速度,
stats/enchant/enchant.stat_2954116742|17882/Allocates Volatile Grenades,Allocates Volatile Grenades,配置易爆擲彈,
stats/enchant/enchant.stat_2954116742|17955/Allocates Careful Consideration,Allocates Careful Consideration,配置小心翼翼,
stats/enchant/enchant.stat_2954116742|18086/Allocates Breath of Ice,Allocates Breath of Ice,配置寒冰之息,
stats/enchant/enchant.stat_2954116742|18157/Allocates Tempered Defences,Allocates Tempered Defences,配置緩和防禦,
stats/enchant/enchant.stat_2954116742|1823/Allocates Illuminated Crown,Allocates Illuminated Crown,配置明光之冠,
stats/enchant/enchant.stat_2954116742|18308/Allocates Bleeding Out,Allocates Bleeding Out,配置出血致死,
stats/enchant/enchant.stat_2954116742|18397/Allocates Savoured Blood,Allocates Savoured Blood,配置鮮味之血,
stats/enchant/enchant.stat_2954116742|18419/Allocates Ancestral Mending,Allocates Ancestral Mending,配置先祖治癒,
stats/enchant/enchant.stat_2954116742|18485/Allocates Unstable Bond,Allocates Unstable Bond,配置不穩定連結,
stats/enchant/enchant.stat_2954116742|18496/Allocates Lasting Trauma,Allocates Lasting Trauma,配置持久創傷,
stats/enchant/enchant.stat_2954116742|18505/Allocates Crushing Verdict,Allocates Crushing Verdict,配置毀滅裁決,
stats/enchant/enchant.stat_2954116742|1861/Allocates Knight of Tarcus,Allocates Knight of Tarcus,配置塔克司之騎士,
stats/enchant/enchant.stat_2954116742|18959/Allocates Ruinic Helm,Allocates Ruinic Helm,配置符文堅盔,
stats/enchant/enchant.stat_2954116742|19044/Allocates Arcane Intensity,Allocates Arcane Intensity,配置秘能強化,
stats/enchant/enchant.stat_2954116742|19125/Allocates Potent Incantation,Allocates Potent Incantation,配置強力咒語,
stats/enchant/enchant.stat_2954116742|19156/Allocates Immaterial,Allocates Immaterial,配置無形,
stats/enchant/enchant.stat_2954116742|19236/Allocates Projectile Bulwark,Allocates Projectile Bulwark,配置投射物屏障,
stats/enchant/enchant.stat_2954116742|19249/Allocates Supportive Ancestors,Allocates Supportive Ancestors,配置祖靈之援,
stats/enchant/enchant.stat_2954116742|19337/Allocates Precision Salvo,Allocates Precision Salvo,配置精準齊射,
stats/enchant/enchant.stat_2954116742|19442/Allocates Prolonged Assault,Allocates Prolonged Assault,配置持久攻擊,
stats/enchant/enchant.stat_2954116742|19546/Allocates Favourable Odds,Allocates Favourable Odds,配置有利形勢,
stats/enchant/enchant.stat_2954116742|19644/Allocates Left Hand of Darkness,Allocates Left Hand of Darkness,配置黑暗左手,
stats/enchant/enchant.stat_2954116742|19715/Allocates Cremation,Allocates Cremation,配置熔炎送葬,
stats/enchant/enchant.stat_2954116742|19722/Allocates Thin Ice,Allocates Thin Ice,配置如履薄冰,
stats/enchant/enchant.stat_2954116742|19955/Allocates Endless Blizzard,Allocates Endless Blizzard,配置無盡暴雪,
stats/enchant/enchant.stat_2954116742|20008/Allocates Unleash Fire,Allocates Unleash Fire,配置釋放火焰,
stats/enchant/enchant.stat_2954116742|20032/Allocates Erraticism,Allocates Erraticism,配置反覆無常,
stats/enchant/enchant.stat_2954116742|2021/Allocates Wellspring,Allocates Wellspring,配置泉源,
stats/enchant/enchant.stat_2954116742|20251/Allocates Splitting Ground,Allocates Splitting Ground,配置分裂地面,
stats/enchant/enchant.stat_2954116742|20289/Allocates Frozen Claw,Allocates Frozen Claw,配置冰凍之爪,
stats/enchant/enchant.stat_2954116742|20388/Allocates Regenerative Flesh,Allocates Regenerative Flesh,配置再生血肉,
stats/enchant/enchant.stat_2954116742|20397/Allocates Authority,Allocates Authority,配置權威,
stats/enchant/enchant.stat_2954116742|20414/Allocates Reprisal,Allocates Reprisal,配置反擊,
stats/enchant/enchant.stat_2954116742|20416/Allocates Grit,Allocates Grit,配置毅力,
stats/enchant/enchant.stat_2954116742|20495/Allocates Dark Entropy,Allocates Dark Entropy,配置黑暗無序,
stats/enchant/enchant.stat_2954116742|20511/Allocates Cremating Cries,Allocates Cremating Cries,配置火化嚎叫,
stats/enchant/enchant.stat_2954116742|20558/Allocates Among the Hordes,Allocates Among the Hordes,配置部族之上,
stats/enchant/enchant.stat_2954116742|20677/Allocates For the Jugular,Allocates For the Jugular,配置直擊要害,
stats/enchant/enchant.stat_2954116742|20686/Allocates Paragon,Allocates Paragon,配置模範,
stats/enchant/enchant.stat_2954116742|20916/Allocates Blinding Strike,Allocates Blinding Strike,配置致盲打擊,
stats/enchant/enchant.stat_2954116742|2113/Allocates Martial Artistry,Allocates Martial Artistry,配置武藝之相,
stats/enchant/enchant.stat_2954116742|21164/Allocates Fleshcrafting,Allocates Fleshcrafting,配置血肉塑造,
stats/enchant/enchant.stat_2954116742|21206/Allocates Explosive Impact,Allocates Explosive Impact,配置暴烈衝擊,
stats/enchant/enchant.stat_2954116742|21213/Allocates Cirel of Tarth's Light,Allocates Cirel of Tarth's Light,配置塔斯的西瑞爾之光,
stats/enchant/enchant.stat_2954116742|21251/Allocates Replenishing Horde,Allocates Replenishing Horde,配置群集復甦,
stats/enchant/enchant.stat_2954116742|2134/Allocates Toxic Tolerance,Allocates Toxic Tolerance,配置劇毒耐性,
stats/enchant/enchant.stat_2954116742|21349/Allocates The Quick Fox,Allocates The Quick Fox,配置迅捷飛狐,
stats/enchant/enchant.stat_2954116742|2138/Allocates Spiral into Insanity,Allocates Spiral into Insanity,配置瘋狂漩渦,
stats/enchant/enchant.stat_2954116742|21380/Allocates Preemptive Strike,Allocates Preemptive Strike,配置先發制人,
stats/enchant/enchant.stat_2954116742|21453/Allocates Breakage,Allocates Breakage,配置破裂,
stats/enchant/enchant.stat_2954116742|21537/Allocates Fervour,Allocates Fervour,配置激情,
stats/enchant/enchant.stat_2954116742|21748/Allocates Impending Doom,Allocates Impending Doom,配置末日厄運,
stats/enchant/enchant.stat_2954116742|21784/Allocates Pack Encouragement,Allocates Pack Encouragement,配置鼓勵裝套,
stats/enchant/enchant.stat_2954116742|22532/Allocates Fearful Paralysis,Allocates Fearful Paralysis,配置恐懼癱瘓,
stats/enchant/enchant.stat_2954116742|22626/Allocates Irreparable,Allocates Irreparable,配置無可修復,
stats/enchant/enchant.stat_2954116742|22726/Allocates Storm's Rebuke,Allocates Storm's Rebuke,配置風暴之責,
stats/enchant/enchant.stat_2954116742|22811/Allocates The Wild Cat,Allocates The Wild Cat,配置野貓,
stats/enchant/enchant.stat_2954116742|22817/Allocates Inevitable Rupture,Allocates Inevitable Rupture,配置無免殘破,
stats/enchant/enchant.stat_2954116742|22864/Allocates Tainted Strike,Allocates Tainted Strike,配置汙染打擊,
stats/enchant/enchant.stat_2954116742|22967/Allocates Vigilance,Allocates Vigilance,配置警覺,
stats/enchant/enchant.stat_2954116742|23078/Allocates Holy Protector,Allocates Holy Protector,配置神聖保護者,
